Identifier,languageCode,countryCode,site,CompetitorModelNumber,curbAdapter,phase,alliedMatchId,GEAModelNumber,associatedProductId
dad47abea8c5f5bacd581f969aecc874,en,US,91b8f8a911bff655d08192b7e34f37d1,549BEX102,no Transition Curb needed,,73,ZHD102S5,4
fb7b743e4c4ee00ec3005c3ed678bdb6,en,US,91b8f8a911bff655d08192b7e34f37d1,LHA102,,,73,ZHD102S5,4
fee821a27ae8a4c654ca285ae8fd1dd0,en,US,91b8f8a911bff655d08192b7e34f37d1,549BJX102,no Transition Curb needed,,73,ZHD102S5,4
755babebde8713e1081098f0f7cf5bb5,en,US,91b8f8a911bff655d08192b7e34f37d1,RHS102K,no Transition Curb needed,,73,ZHD102S5,4
80be0738d5279849b6216c980c4e70c5,en,US,91b8f8a911bff655d08192b7e34f37d1,RHH102S,no Transition Curb needed,,73,ZHD102S5,4
8773c33934bc3596e41d9c93b9aae6b8,en,US,91b8f8a911bff655d08192b7e34f37d1,RHH102L,no Transition Curb needed,,73,ZHD102S5,4
17dedaf3f06973e15d9f24e9a20455c6,en,US,91b8f8a911bff655d08192b7e34f37d1,PHH102L,no Transition Curb needed,,73,ZHD102S5,4
2deefc0dcd71f4715109c3a43456c1ff,en,US,91b8f8a911bff655d08192b7e34f37d1,PHH102K,no Transition Curb needed,,73,ZHD102S5,4
455da16c245592862d6b9278efe08bf0,en,US,91b8f8a911bff655d08192b7e34f37d1,RHS102L,no Transition Curb needed,,73,ZHD102S5,4
4d52a58b78ec18ee1041c88f73e3ba54,en,US,91b8f8a911bff655d08192b7e34f37d1,RHH102K,no Transition Curb needed,,73,ZHD102S5,4
509e063e08145d3f9ce8b8686c1b5689,en,US,91b8f8a911bff655d08192b7e34f37d1,RHH102H,no Transition Curb needed,,73,ZHD102S5,4
53777aa1aba4c71c7cdd37c4ab1f9cde,en,US,91b8f8a911bff655d08192b7e34f37d1,RHS102H,no Transition Curb needed,,73,ZHD102S5,4
2c4fd7f9039a7328ca08a57af2cbbb69,en,US,91b8f8a911bff655d08192b7e34f37d1,548JT08,no Transition Curb needed,,72,ZHD092S5,4
231b517dfa9be29baee5f1e04d40275a,en,US,91b8f8a911bff655d08192b7e34f37d1,549BEX090,no Transition Curb needed,,72,ZHD092S5,4
d25987ea84ea27995257774166b66393,en,US,91b8f8a911bff655d08192b7e34f37d1,WSC090H,,,72,ZHD092S5,4
8e9853d120cc34b032ea1b119c5d280e,en,US,91b8f8a911bff655d08192b7e34f37d1,50HCQA08,no Transition Curb needed,,72,ZHD092S5,4
67844f16226b213288ef413a2001a49b,en,US,91b8f8a911bff655d08192b7e34f37d1,50QD008-5,,,72,ZHD092S5,4
7b56df66532f9b7949ea717a1658edea,en,US,91b8f8a911bff655d08192b7e34f37d1,50LJQ008,no Transition Curb needed,,72,ZHD092S5,4
897e582fd91952c5bc0fcbda73fb9159,en,US,91b8f8a911bff655d08192b7e34f37d1,50HJQ008,no Transition Curb needed,,72,ZHD092S5,4
